what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919991593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920007087
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496920131377
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496920131411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1496920131454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920137402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920140416
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496920140499
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496920140527
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1496920140528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920141848
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1496920141949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920142769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920295711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920406612
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1496920409640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920410404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496920413660
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1496920413799
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1496920414860
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1496920415089
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1496920415187
